Gene ID,Base Mean,log2(FC),StdErr,Wald_Stats,P-value,P-adj
MSTRG.6952.1,274.3173673,-4.664734931,0.314485582,-14.83290553,8.98E-50,8.10E-46
MSTRG.899.1,748.6485603,-4.20617205,0.320854739,-13.109272,2.91E-39,8.77E-36
MSTRG.2298.1,87.15501176,-4.010670174,0.576526355,-6.956612026,3.49E-12,1.09E-09
rna-geneTsM_001212900.1,41.55660284,-3.909993848,0.681283726,-5.739156385,9.51E-09,1.16E-06
MSTRG.2081.1,28.60884097,-3.906226344,0.5437027,-7.184489508,6.75E-13,2.44E-10
rna-geneTsM_000626100.1,56.90771114,-3.778512126,0.478106012,-7.903084315,2.72E-15,1.54E-12
MSTRG.11295.10,12.62226965,-3.777549904,0.642978258,-5.875081869,4.23E-09,5.78E-07
MSTRG.9899.1,23.40690338,-3.697191292,0.603159564,-6.129706813,8.80E-10,1.39E-07
rna-geneTsM_000808300.1,9.232449365,-3.65419223,0.684074004,-5.341808358,9.20E-08,8.56E-06
rna-geneTsM_000030100.1,153.8946316,-3.643760698,0.385313246,-9.456619344,3.18E-21,4.10E-18
MSTRG.5313.1,9.600699905,2.788900269,0.623171675,4.475332206,7.63E-06,0.000360612
MSTRG.8513.1,45.15520946,2.831809467,0.537820349,5.265344591,1.40E-07,1.20E-05
MSTRG.393.1,12.16442362,2.860247979,0.600759628,4.761052254,1.93E-06,0.00010935
MSTRG.7197.1,6.199845943,2.881321012,0.688311966,4.186068462,2.84E-05,0.001008818
MSTRG.1360.1,14.81481031,2.882816005,0.556770459,5.177745975,2.25E-07,1.72E-05
MSTRG.9810.1,32.92653743,2.932455771,0.450869024,6.504008078,7.82E-11,1.64E-08
MSTRG.7199.1,11.4600066,3.033677213,0.635654263,4.772527126,1.82E-06,0.000104615
MSTRG.6299.1,513.7619558,3.135499528,0.281025032,11.1573674,6.59E-29,1.19E-25
MSTRG.3608.1,14.34252098,3.352600805,0.620387108,5.404046538,6.52E-08,6.32E-06
MSTRG.3505.1,49.41785536,3.528485927,0.478753264,7.370155347,1.70E-13,6.99E-11
